date,name,code,close,trading_value_billion
20260408,심텍,222800,69200,2809
20260408,DL이앤씨,375500,96700,12135
20260406,남선알미늄,008350,2130,4248
20260403,신성이엔지,011930,34450,6563
20260403,HD현대에너지솔루션,322000,191100,5906
20260403,SK이터닉스,475150,67900,17352
20260402,흥아해운,003280,4470,13373
20260401,대우건설,047040,19430,14859
20260327,미래에셋벤처투자,100790,32550,7110
20260325,아주IB투자,027360,8520,3238
20260325,쏠리드,050890,15910,7933
20260320,SK증권,001510,5175,11658
20260320,오르비텍,046120,13700,2348
20260319,SK이터닉스,475150,54700,17464
20260318,우리기술,032820,29300,20974
20260318,대우건설,047040,14870,16105
20260318,로킷헬스케어,376900,128700,2238
20260317,아주IB투자,027360,7480,3443
20260313,우리기술,032820,24450,14368
20260313,대우건설,047040,12320,10690
20260312,HD현대에너지솔루션,322000,130700,10106
20260312,SK이터닉스,475150,37350,8314
20260311,대한광통신,010170,7160,4526
20260311,RFHIC,218410,89100,6159
20260311,로킷헬스케어,376900,97300,3011
20260310,대한광통신,010170,5510,2905
20260306,비에이치아이,083650,95900,2257
20260305,흥구석유,024060,32700,16565
20260305,주성엔지니어링,036930,66800,2832
20260303,한화에어로스페이스,012450,1503000,41776
20260303,LIG디펜스앤에어로스페이스,079550,661000,14843
20260303,한화시스템,272210,147600,35534
20260227,현대위아,011210,107000,4375
20260227,한미반도체,042700,316000,43629
20260227,서진시스템,178320,47550,3936
20260226,삼천당제약,000250,757000,11124
20260226,LG이노텍,011070,345000,6911
20260226,한미반도체,042700,275500,36270
20260224,씨아이에스,222080,15060,4452
20260224,한화비전,489790,80400,9848
20260223,흥구석유,024060,21850,9061
20260223,페니트리움바이오,187660,12060,3187
20260220,보성파워텍,006910,12680,4784
20260219,한화솔루션,009830,58700,22223
20260219,한온시스템,018880,5270,8528
20260213,미래에셋증권,006800,61036,25289
20260213,스피어,347700,44600,2666
20260211,우리기술,032820,12350,10766
20260211,LG전자,066570,128200,27543
20260210,대우건설,047040,7380,7201
20260210,유진로봇,056080,48800,9641
20260209,한화솔루션,009830,47650,29408
20260206,스피어,347700,37350,3393
20260204,리브스메드,491000,87400,2350
20260203,미래에셋증권,006800,51279,16423
20260203,한화시스템,272210,120700,25918
20260202,삼표시멘트,038500,10920,2781
20260130,삼표시멘트,038500,8400,5083
20260130,제주반도체,080220,43300,12347
20260130,한라캐스트,125490,23400,7512
20260129,켄코아에어로스페이스,274090,29850,2323
20260129,나라스페이스테크놀로지,478340,62700,6511
20260128,에스피지,058610,149500,8567
20260128,에코프로,086520,166400,45545
20260128,원익IPS,240810,106700,2175
20260128,HPSP,403870,44200,5427
20260126,에코프로,086520,131500,31139
20260126,에코프로비엠,247540,207500,12978
20260126,레인보우로보틱스,277810,684000,19826
20260126,에이비엘바이오,298380,246500,14559
20260126,유일로보틱스,388720,135000,2034
20260126,리브스메드,491000,80800,4588
20260123,삼천당제약,000250,362500,9351
20260122,삼성SDI,006400,399000,38723
20260121,현대차,005380,558000,67464
20260121,휴림로봇,090710,21500,13196
20260121,HL만도,204320,74200,8695
20260121,현대무벡스,319400,46350,6137
20260121,나라스페이스테크놀로지,478340,52600,8458
20260119,유진로봇,056080,33200,4920
20260119,에스피지,058610,112400,9382
20260119,휴림로봇,090710,16650,7779
20260119,현대무벡스,319400,34950,3322
20260119,두산로보틱스,454910,113700,12519
20260119,클로봇,466100,77900,8130
20260116,유진로봇,056080,26200,5444
20260115,휴림로봇,090710,11170,6176
20260114,현대건설,000720,94100,8446
20260113,현대모비스,012330,456000,11049
20260109,한화시스템,272210,78300,26175
20260109,알지노믹스,476830,191400,6373
20260107,현대차,005380,357000,41337
20260107,현대오토에버,307950,405500,17481
20260106,미래에셋증권,006800,29373,8590
20260105,한미반도체,042700,173900,25397
20260102,현대무벡스,319400,23700,6172
20251229,원익홀딩스,030530,47750,8984
20251229,휴림로봇,090710,7980,7430
20251229,한라캐스트,125490,21350,4122
20251222,현대무벡스,319400,16130,9881
20251219,에스피지,058610,85600,7879
20251219,현대오토에버,307950,298500,6275
20251215,원익홀딩스,030530,37500,8063
20251212,삼성에피스홀딩스,0126Z0,661000,15876
20251212,클로봇,466100,65200,9673
20251211,일동제약,249420,40500,9106
20251211,이뮨온시아,424870,13614,3484
20251208,에코프로,086520,117500,21957
20251204,현대오토에버,307950,285500,9762
20251201,한올바이오파마,009420,55500,3842
20251128,에스피지,058610,61100,7958
20251128,고영,098460,23700,9782
20251127,삼현,437730,41600,3069
20251120,펩트론,087010,391500,3933
20251112,리가켐바이오,141080,172000,8154
20251112,에이비엘바이오,298380,126700,2679
20251111,지투지바이오,456160,89600,5286
20251103,로보스타,090360,101700,3826
20251103,로보티즈,108490,274500,7105
20251103,두산로보틱스,454910,92500,10133
20251031,레인보우로보틱스,277810,434500,20078
20251031,디앤디파마텍,347850,69583,5363
20251027,삼성중공업,010140,30050,16617
20251024,포스코퓨처엠,003670,239500,7396
20251024,로보스타,090360,79800,6659
20251023,LS ELECTRIC,010120,74300,8874
20251023,심텍,222800,58500,3185
20251021,삼영엠텍,054540,18090,3990
20251020,미래에셋증권,006800,25589,4539
20251020,휴림로봇,090710,5980,4463
20251020,제닉스로보틱스,381620,17580,2312
20251016,두산에너빌리티,034020,83400,15725
20251016,로킷헬스케어,376900,34400,3423
20251015,한라캐스트,125490,10940,5614
20251015,하이젠알앤엠,160190,70200,4408
20251015,현대무벡스,319400,12800,4427
20251014,현대무벡스,319400,10430,3161
20251013,하나마이크론,067310,28000,2018
20251010,원익홀딩스,030530,19070,2045
20251010,로보티즈,108490,191300,8159
20251010,삼현,437730,27200,2301
20251010,클로봇,466100,36550,4336
20250922,삼천당제약,000250,275500,5621
20250922,디앤디파마텍,347850,53940,5330
20250919,다날,064260,11090,9554
20250919,로보티즈,108490,132632,9507
20250919,올릭스,226950,100100,4963
20250915,지투지바이오,456160,65566,6366
20250910,세진중공업,075580,26400,5972
20250910,HJ중공업,097230,33100,11336
20250910,지투지바이오,456160,55728,3441
20250908,세진중공업,075580,24000,5338
20250905,HJ중공업,097230,27600,6358
20250829,HJ중공업,097230,19030,6110
20250825,로보티즈,108490,98938,6313
20250724,에이비엘바이오,298380,88200,9281
20250721,태웅,044490,43500,2810
20250717,펩트론,087010,283000,4150
20250716,쿠콘,294570,50400,5465
20250715,풍산,103140,156600,4768
20250715,로보티즈,108490,83942,4489
20250710,제주은행,006220,18470,4650
20250710,더즌,462860,6570,4619
20250707,다날,064260,9740,9478
20250704,다날,064260,8190,8520
20250701,다날,064260,7350,5718
20250624,한국전력,015760,35850,12544
20250624,카카오뱅크,323410,36450,16909
20250623,미래에셋증권,006800,22154,5197
20250623,두산에너빌리티,034020,69100,37501
20250623,로보티즈,108490,79754,4952
20250623,SK이터닉스,475150,28700,7333
20250620,카카오페이,377300,79600,4804
20250618,NAVER,035420,247000,24551
20250618,더즌,462860,4995,3121
20250616,한화,000880,102500,3445
20250616,한화시스템,272210,64400,13247
20250616,디앤디파마텍,347850,31788,2817
20250611,실리콘투,257720,60700,6092
20250610,한화시스템,272210,53700,12884
20250609,카카오,035720,53500,12834
20250609,솔트룩스,304100,55400,4668
20250604,코나아이,052400,59000,5463
20250604,솔트룩스,304100,43150,4125
20250527,에이비엘바이오,298380,82700,5640
20250410,한텍,098070,42750,4317
20250218,LS ELECTRIC,010120,56800,4992
20250213,한화비전,489790,54400,7157
20250212,한화시스템,272210,32800,14217
20250207,전진건설로봇,079900,54600,3193
20250206,현대로템,064350,71500,5867
20250206,필옵틱스,161580,38300,2703
20250205,클로봇,466100,14580,4850
20250131,레인보우로보틱스,277810,299500,5152
20241111,펩트론,087010,110300,3188
