date,name,code,close,trading_value_billion,daily_return_pct,is_new_listing
20250624,한국전력,15760,35850,12544,26.23%,N
20250624,카카오뱅크,323410,36450,16909,15.35%,N
20250624,헥토파이낸셜,234340,21347,2277,18.17%,N
20250624,카카오게임즈,293490,23500,3013,29.55%,N
20250623,미래에셋증권,6800,22154,5197,15.40%,N
20250623,두산에너빌리티,34020,69100,37501,17.12%,N
20250623,SK이터닉스,475150,28700,7333,28.70%,N
20250623,로보티즈,108490,79754,4952,28.77%,N
20250620,두산퓨얼셀,336260,23100,3701,16.67%,N
20250620,카카오페이,377300,79600,4804,28.39%,N
20250619,신세계 I&C,35510,21000,2119,19.93%,N
20250619,한전KPS,51600,60700,2732,15.84%,N
20250618,콜마홀딩스,24720,15950,2337,30.31%,N
20250618,NAVER,35420,247000,24551,20.78%,N
20250618,한글과컴퓨터,30520,34250,2033,15.91%,N
20250618,더즌,462860,4995,3121,15.89%,Y
20250616,한화,880,102500,3445,15.43%,N
20250616,삼성에스디에스,18260,169600,2381,23.62%,N
20250616,한화시스템,272210,64400,13247,17.30%,N
20250616,우리기술,32820,3380,6897,21.58%,N
20250616,헥토파이낸셜,234340,18776,2073,16.85%,N
20250616,디앤디파마텍,347850,31788,2817,29.99%,N
20250613,풍산,103140,105100,8398,16.13%,N
20250612,아난티,25980,10120,5441,20.48%,N
20250611,한국정보인증,53300,8950,3231,16.08%,N
20250611,실리콘투,257720,60700,6092,16.96%,N
20250610,풍산,103140,80200,2612,21.15%,N
20250610,한화시스템,272210,53700,12884,24.88%,N
20250610,다날,64260,5930,4262,26.84%,N
20250609,카카오,35720,53500,12834,20.77%,N
20250609,카카오뱅크,323410,29550,4564,21.36%,N
20250609,솔트룩스,304100,55400,4668,15.42%,N
20250605,일신석재,7110,2655,2279,18.79%,N
20250605,성광벤드,14620,34700,2429,21.97%,N
20250605,쿠콘,294570,35750,2945,30.00%,N
20250604,한화,880,92900,5149,17.59%,N
20250604,코나아이,52400,59000,5463,25.40%,N
20250604,솔트룩스,304100,43150,4125,15.68%,N
20250602,태웅,44490,27500,3346,22.49%,N
20250529,미래에셋증권,6800,16489,3119,22.85%,N
20250529,HD현대,267250,115100,2452,16.73%,N
20250527,에이비엘바이오,298380,82700,5640,22.52%,N
20250526,달바글로벌,483650,140600,4781,15.53%,Y
20250526,인투셀,287840,42600,4033,30.88%,Y
20250526,현대힘스,460930,22700,2794,27.53%,N
20250521,세진중공업,75580,12030,2465,28.94%,N
20250519,원익홀딩스,30530,5310,2625,16.83%,N
20250519,이뮨온시아,424870,7216,14054,33.93%,Y
20250516,HD현대에너지솔루션,322000,46750,2294,15.29%,N
20250516,비에이치아이,83650,38100,4438,17.05%,N
20250516,오가노이드사이언스,476040,45550,4665,17.40%,Y
20250515,로킷헬스케어,376900,21450,4971,26.77%,Y
20250514,한진칼,180640,150600,2022,29.94%,N
20250514,로보티즈,108490,47716,2655,28.10%,N
20250513,유진로봇,56080,12510,2726,19.71%,N
20250513,디앤디파마텍,347850,22352,2392,24.90%,N
