date,name,code,close,trading_value_billion
20231218,LS머트리얼즈,417200,39900,10191
20231215,에코프로머티,450080,169000,16756
20231213,코리아써키트,007810,19650,2444
20231212,SFA반도체,036540,6590,3589
20231212,LS머트리얼즈,417200,24000,9581
20231211,엑스게이트,356680,7550,3009
20231208,제주반도체,080220,11280,3957
20231207,와이바이오로직스,338840,18180,2344
20231206,대상홀딩스,084690,13310,2151
20231206,SOOP,067160,83400,3903
20231206,와이지엔터테인먼트,122870,60300,3287
20231206,케이엔에스,432470,46000,7713
20231205,수젠텍,253840,10700,2540
20231204,갤럭시아머니트리,094480,11350,2222
20231201,시노펙스,025320,4376,2636
20231130,LS에코에너지,229640,16800,3097
20231130,이수스페셜티케미컬,457190,38560,2671
20231129,갤럭시아머니트리,094480,8250,2409
20231128,레인보우로보틱스,277810,190200,7079
20231127,에코프로머티,450080,124600,15564
20231127,퀄리타스반도체,432720,25384,2002
20231127,에이직랜드,445090,54400,2449
20231124,덕성,004830,9790,2745
20231124,그린리소스,402490,26166,13540
20231123,스톰테크,352090,8990,4470
20231122,큐로셀,372320,34450,2428
20231121,에코아이,448280,20765,6569
20231120,두산로보틱스,454910,58500,5230
20231120,메디아나,041920,10240,2397
20231117,에코프로머티,450080,57200,21970
20231115,컨텍,451760,18780,2663
20231115,캡스톤파트너스,452300,9180,5328
20231113,에스와이스틸텍,365330,3349,5804
20231110,컨텍,451760,18420,2848
20231108,위메이드,112040,53100,3797
20231106,포스코DX,022100,63500,9627
20231106,종근당,185750,116685,3135
20231102,지구홀딩스,221800,8550,3516
20231101,워트,396470,15240,3518
20231031,엘컴텍,037950,9878,2304
20231031,워트,396470,11730,3129
20231030,두산로보틱스,454910,41150,3334
20231030,흥구석유,024060,14410,2107
20231024,희림,037440,10420,2121
20231020,이랜시스,264850,6430,2173
20231018,휴니드,005870,9270,3085
20231017,극동유화,014530,5260,2128
20231017,아이엠티,451220,31700,2533
20231016,대성에너지,117580,12920,2001
20231016,LS에코에너지,229640,13210,4141
20231013,LS에코에너지,229640,11340,2335
20231013,흥구석유,024060,13500,4157
20231011,흥구석유,024060,10070,3034
20231005,한싹,430690,13233,2407
20230926,모아데이타,288980,3550,2281
20230925,이랜시스,264850,5920,2263
20230925,인스웨이브,450520,17186,7871
20230922,에스피지,058610,40500,3577
20230921,비츠로테크,042370,12100,4405
20230920,STX그린로지스,465770,30550,2352
20230920,엑스게이트,356680,6100,2041
20230919,롯데손해보험,000400,3105,2263
20230918,머큐리,100590,8890,2516
20230914,주성엔지니어링,036930,31700,3866
20230912,퓨런티어,370090,39800,2499
20230912,크리스탈신소재,900250,2985,2167
20230911,두산,000150,149100,6336
20230908,샤페론,378800,5340,2066
20230907,유진로봇,056080,14100,4625
20230907,HB테크놀러지,078150,3780,2103
20230905,루닛,328130,52275,4516
20230905,뷰노,338220,64200,3601
20230904,대동,000490,13980,2517
20230904,포스코DX,022100,58200,8442
20230904,에스비비테크,389500,56300,3598
20230901,하나마이크론,067310,23595,4735
20230901,스마트레이더시스템,424960,30000,3726
20230831,포스코DX,022100,56100,14093
20230831,레인보우로보틱스,277810,151500,8380
20230831,뉴로메카,348340,42800,2743
20230831,파로스아이바이오,388870,25000,2440
20230830,유진로봇,056080,10640,2762
20230830,스마트레이더시스템,424960,22100,3623
20230829,뷰노,338220,50100,2729
20230828,우리로,046970,2750,2354
20230825,포스코DX,022100,44400,13493
20230825,스마트레이더시스템,424960,17210,4341
20230824,폴라리스오피스,041020,7150,4786
20230824,큐렉소,060280,24400,5735
20230824,스마트레이더시스템,424960,14790,3544
20230823,디알텍,214680,5200,5007
20230822,신성델타테크,065350,54600,9240
20230822,큐리옥스바이오시스템즈,445680,16428,2278
20230821,센코,347000,5680,2423
20230818,한미반도체,042700,57800,9585
20230818,솔트룩스,304100,38250,2697
20230817,삼기에너지솔루션즈,419050,4677,2083
20230816,LS에코에너지,229640,17180,4202
20230816,비츠로테크,042370,11950,2246
20230816,한양이엔지,045100,24400,2649
20230816,서남,294630,10470,4089
20230814,LS에코에너지,229640,13220,3617
20230814,티로보틱스,117730,33450,2057
20230814,서남,294630,8060,2712
20230814,파두,440110,39900,5224
20230811,파워로직스,047310,12870,4168
20230811,원익피앤이,217820,10826,2806
20230811,와이랩,432430,14430,2299
20230810,아난티,025980,8430,2598
20230810,엠아이큐브솔루션,373170,14778,2113
20230810,큐리옥스바이오시스템즈,445680,8667,5163
